OGF_ID,AIRPORT_TYPE,STATUS,NAME,OWNER,AIRPORT_IDENT,LATITUDE,LONGITUDE,ELEVATION,NUMBER_OF_PAVED_RUNWAYS,NUMBER_OF_UNPAVED_RUNWAYS,LGTH_LONGEST_DAYTIME_RUNWAY,LGTH_LONGEST_NIGHTTIME_RUNWAY,CONTROL_TOWER_IND,INSTRUMENT_FLIGHT_RULES_IND,VISUAL_FLIGHT_RULES_IND,AIRPORT_LIGHTING,AIRPORT_AREA_HA,COMMENTS,SOURCE_DETAIL,LOCATION_ACCURACY,GEOMETRY_UPDATE_DATETIME,EFFECTIVE_DATETIME,SYSTEM_DATETIME,OBJECTID,SHAPEAREA,SHAPELEN
73162691,Airport,Unknown,Keene/Elmhirst`s Resort,<Null>,CPS2,44.2518273,78.1061864,650,0,0,0,0,,,,,21.489,,Nav Canada,Within 100 metres,,2012/03/28 10:38:01+00,2012/03/29 09:00:55+00,47,0,0
73162692,Airport,Unknown,Stirling,<Null>,CPJ5,44.2417401,77.5596601,625,0,0,0,0,,,,,10.925,,Nav Canada,Within 100 metres,,2012/03/28 10:38:04+00,2012/03/29 09:00:55+00,48,0,0
73162693,Airport,Unknown,Trenton,<Null>,CYTR,44.1188501,77.5333515,283,0,0,0,0,,,,,504.619,,Nav Canada,Within 100 metres,,2012/03/28 10:38:01+00,2012/03/29 09:00:55+00,49,0,0
73162694,Airport,Unknown,Wyoming (Reeces Corners),<Null>,CPM6,42.9753889,82.13649,685,0,0,0,0,,,,,33.69,,Nav Canada,Within 100 metres,,2012/03/28 10:38:00+00,2012/03/29 09:00:55+00,50,0,0
73162695,Heliport,Unknown,Milton (Afi),<Null>,CMH2,43.5322028,79.9022298,687,0,0,0,0,,,,,1.632,,Nav Canada,Within 100 metres,,2012/03/28 10:37:58+00,2012/03/29 09:00:55+00,51,0,0
73162696,Airport,Unknown,Edenvale,<Null>,CNV8,44.4371871,79.9633424,714,0,0,0,0,,,,,220.824,,Nav Canada,Within 100 metres,,2012/03/28 10:38:03+00,2012/03/29 09:00:55+00,52,0,0
73162697,Airport,Unknown,Cookstown,<Null>,CCT2,44.2374764,79.6396264,750,0,0,0,0,,,,,54.303,,Nav Canada,Within 100 metres,,2012/03/28 10:38:02+00,2012/03/29 09:00:55+00,53,0,0
73162698,Airport,Unknown,Barrie-Orillia (Lake Simcoe Regional),<Null>,CYLS,44.4877421,79.5548204,968,0,0,0,0,,,,,246.534,,Nav Canada,Within 100 metres,,2012/03/28 10:37:59+00,2012/03/29 09:00:55+00,54,0,0
73162699,Airport,Unknown,Trenton/Mountain View,<Null>,CPZ3,44.0694721,77.33992,362,0,0,0,0,,,,,239.917,,Nav Canada,Within 100 metres,,2012/03/28 10:38:03+00,2012/03/29 09:00:55+00,55,0,0
73162700,Airport,Unknown,Belleville,<Null>,CNU4,44.1925124,77.308826,320,0,0,0,0,,,,,19.556,,Nav Canada,Within 100 metres,,2012/03/28 10:37:59+00,2012/03/29 09:00:55+00,56,0,0
73162701,Airport,Unknown,Tyendinaga (Mohawk),<Null>,CPU6,44.1839199,77.105698,260,0,0,0,0,,,,,115.018,,Nav Canada,Within 100 metres,,2012/03/28 10:37:59+00,2012/03/29 09:00:55+00,57,0,0
73162702,Airport,Unknown,Picton,<Null>,CNT7,43.9881739,77.1346425,465,0,0,0,0,,,,,206.436,,Nav Canada,Within 100 metres,,2012/03/28 10:38:04+00,2012/03/29 09:00:55+00,58,0,0
